科目,出題回,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
リハビリテーション医学,31,関節リウマチによる関節変形の組合せで正しいのはどれか。,手関節　----　背側脱臼,膝　---　反張膝,足　部　-------　内反足,頸　椎　-------　環軸関節亜脱臼,4,
リハビリテーション医学,31,パーキンソン病において、立ち直り反射の障害やバランスの不安定性がある重症度でのリハビリテーション治療で最も適切なのはどれか。,呼吸訓練,線またぎ訓練,体位変換,自助具の導入,2,
リハビリテーション医学,31,"「68歳の女性。右利き。右片麻痩を生じた病院に救急搬送された。MIR検査で左中大脳動脈領域の脳梗塞と診断され、保存的治療を受けた。」
本疾患の症状でもっとも見られるのはどれか。",失調症,失語症,半側空間無視,注意障害,2,
リハビリテーション医学,31,"「68歳の女性。右利き。右片麻痩を生じた病院に救急搬送された。MIR検査で左中大脳動脈領域の脳梗塞と診断され、保存的治療を受けた。」
重度の片麻痺が続いた場合に行う、ADL訓練として最も適切なのはどれか。",箸を使った食事動作,両上肢での更衣,両手での洗顔,利き手交換,4,
リハビリテーション医学,32,介護保険によるサービスはどれか。,生活介護,自立訓練,就労移行支援,通所リハビリテーション,4,
リハビリテーション医学,32,急性期リハビリテーションチームで社会保険制度の利用調整を行うのはどれか。,保健師,理学療法士,ケアマネジャー,医療ソーシャルワーカー,4,
リハビリテーション医学,32,上肢のブルンストロームステージで「十分な共同運動が出現し、関節運動を伴う屈筋共同運動が出現する」のはどれか。,ステージⅠ,ステージⅡ,ステージⅢ,ステージⅣ,3,
リハビリテーション医学,32,嚥下障害患者に対して直接嚥下訓練を行う職種はどれか。,理学療法士,作業療法士,言語聴覚士,義肢装具士,3,
リハビリテーション医学,32,正常歩行について正しいのはどれか。,1サイクルは1歩に相当する。,遊脚期は立脚期より時間が長い。,二重支持期が0になると走行になる。,歩行速度が遅いほど消費エネルギーが少ない。,3,
リハビリテーション医学,32,痙縮が出現するのはどれか。,ギラン・バレー症候群,被殻出血,腕神経叢麻痺,多発性筋炎,2,
リハビリテーション医学,32,脊髄損傷で下肢に比べて上肢の障害が重度なのはどれか。,横断型頸髄損傷,中心性頸髄損傷,前脊髄動脈症候群,ブラウンセカール症候群,2,
リハビリテーション医学,32,下肢切断で断端包帯を用いた管理の目的として正しいのはどれか。,浮腫の予防,創部痛の軽減,患側の筋力強化,創部感染の予防,1,
リハビリテーション医学,32,脳性麻痺について正しいのはどれか。,永続的な運動障害である。,最も多い病型はアテトーゼ型である。,アテトーゼ型では精神発達遅滞を合併することが多い。,受胎から生後1年間までに生じた脳病変を原因とする。,1,
リハビリテーション医学,32,心臓リハビリテーションにおける運動療法の禁忌はどれか。,NYHA心機能分類Ⅰ度,冠状動脈バイパス術後,末梢動脈閉塞性疾患,不安定狭心症,4,
リハビリテーション医学,32,関節リウマチによる変形で最も適切なのはどれか。,反跳膝,翼状肩甲,環軸椎亜脱臼,内反尖足,3,
リハビリテーション医学,32,胸郭出口症候群に最も関与するのはどれか。,胸　骨,大胸筋,第1肋骨,胸鎖乳突筋,3,
リハビリテーション医学,33,ICFの「活動」に該当するのはどれか。,呼吸機能,利き手交換,復　職,家屋改造,2,
リハビリテーション医学,33,脊髄損傷患者に生じる自律神経過反射について正しいのはどれか。,血圧上昇にはまず降圧薬を投与する。,腰髄損傷患者にみられる。,脳内出血を合併することはない。,難治性便秘が誘引となる。,4,
リハビリテーション医学,33,心臓リハビリテーションの適応となるのはどれか。,不安定狭心症,急性心筋炎,急性大動脈解離,心不全,4,
リハビリテーション医学,33,摂食嚥下機能について正しいのはどれか。,先行期では食物を認識する。,口腔期では食物を咀嚼し食塊を形成する。,咽頭期では食物が咽頭へ送り込まれる。,食道期では食物が食道へ送り込まれる。,1,
リハビリテーション医学,33,大腿骨頸部骨折に対する人工骨頭置換術後のリハビリテーションで、最も適切なのはどれか。,術直後から患側下肢の抵抗運動を開始する。,術後疼痛緩和のために極長短波療法を行う。,患側股関節の回旋運動を行う。,術後早期から荷重訓練を開始する。,4,
リハビリテーション医学,33,改訂日本版フレイル基準に含まれる項目はどれか。,骨密度低下,聴力低下,認知機能低下,筋力低下,4,
リハビリテーション医学,33,脳性麻痺の病型で最も多いのはどれか。,アテトーゼ型,痙直型,失調型,混合型,2,
リハビリテーション医学,33,パーキンソン病におけるホーン・ヤールの重症度分類において、「姿勢反射障害を認めるが日常生活に介助は不要な状態」はどれか。,ステージⅠ,ステージⅡ,ステージⅢ,ステージⅣ,3,
リハビリテーション医学,33,膝関節伸展の徒手筋力テストで、被検者を側臥位にして評価するのはどれか。,MMT1,MMT2,MMT3,MMT4,2,
リハビリテーション医学,33,成人の正常立位姿勢での重心は、重心線の下から何％の位置にあるか。,約35％,約45％,約55％,約65％,3,
リハビリテーション医学,33,関節リウマチによる関節変形で最も適切なのはどれか。,MP関節の尺側偏位,O　脚,凹　足,翼状肩甲,1,
リハビリテーション医学,33,社会的リハビリテーションに含まれる内容はどれか。,家族への介護指導,職場環境の整備,個別の理学療法,管理栄養士による栄養管理,1,
リハビリテーション医学,34,痙縮について正しいのはどれか。,パーキンソン病に特有の症状である。,歯車現象を生じる。,上位運動ニューロン障害によって生じる。,関節可動域の拡大が特徴である。,3,
リハビリテーション医学,34,二分脊椎について正しいのはどれか。,先天的に発症する脊髄疾患である。,水頭症を合併することはない。,病変が高位になるほど障害は軽度となる。,皮膚病変を合併することはない。,1,
リハビリテーション医学,34,改訂日本版フレイル基準に含まれる項目はどれか。,骨量減少,視力低下,体重減少,認知機能低下,3,
リハビリテーション医学,34,職種と主な業務内容の組合せで正しいのはどれか。,管理栄養士　-----　嚥下訓練,義肢装具士　-----　装具処方,作業療法士　-----　自助具作製,ケアマネジャー　-----　入浴介助,3,
リハビリテーション医学,34,異常歩行と原因疾患の組合せで正しいのはどれか。,はさみ脚歩行　-----　進行性筋ジストロフィー,分回し歩行　-----　脊髄小脳変性症,突進歩行　-----　パーキンソン病,トレンデレンブルグ歩行　-----　脳性麻痺,3,
リハビリテーション医学,34,下肢切断後の幻肢痛で正しいのはどれか。,小児では出現しにくい。,断端創の治癒により消失する。,鎮痛薬の効果が得られやすい。,疼痛が軽減してから義足を使用する。,1,
リハビリテーション医学,34,関節リウマチにみられる最も特徴的な症状はどれか。,内反尖足,非対称性の関節腫脹,O　脚,環軸関節亜脱臼,4,
リハビリテーション医学,34,身体障害者福祉法に定められた身体障害でないのはどれか。,肢体不自由,視覚障害,発達障害,音声機能の障害,3,
リハビリテーション医学,34,作業療法で主に用いる補装具はどれか。,義　手,義　足,体幹装具,下肢装具,1,
リハビリテーション医学,34,高齢者の外傷性脊髄損傷の受傷原因として最も多いのはどれか。,スポーツ,交通事故,労働災害,転倒・転落,4,
リハビリテーション医学,34,閉塞性換気障害を呈する疾患はどれか。,高度肥満症,気管支喘息,間質性肺炎,重症筋無力症,2,
リハビリテーション医学,34,ICF の生活機能に含まれないのはどれか。,疾　病,心身機能・身体構造,活　動,参　加,1,
東洋医学概論,25,相剋関係にある経脈の絡穴の組み合わせはどれか。,外関 ――― 通里,公孫 ――― 偏歴,蠡溝 ――― 大鍾,飛揚 ――― 内関,4,
東洋医学概論,25,五行色体で相剋関係にある組合せはどれか。,肌肉 ――― 涕,血脈 ――― 涎,皮毛 ――― 汗,筋 ―――― 唾,3,
東洋医学概論,25,三焦を通って全身に分布する気はどれか。,衛気,営気,原気,宗気,3,
東洋医学概論,25,水の上源といわれる臓腑はどれか。,膀胱,脾,肺,腎,3,
東洋医学概論,25,心下付近に結ぶ経筋はどれか。,手の三陰,足の三陰,手の三陽,足の三陽,1,
東洋医学概論,25,"次の文で示す患者の症状を引き起こす六淫はどれか。
「55歳の女性。梅雨の頃より頭や体が重く、四肢がだるくなり、関節が腫れ、下痢をするようになった。」",寒邪,暑邪,湿邪,風邪,3,
東洋医学概論,25,五労と傷られる臓が現す症状の組合せで正しいのはどれか。,久坐 ――― 呑,久視 ――― 語,久臥 ――― 欠,久立 ――― 咳,1,
東洋医学概論,25,経脈病証で前胸部、心下部、腋下部の圧迫感、下肢内側の腫れや痛みがみられるのはどれか。,少陽胆経病証,陽明胃経病証,太陰脾経病証,厥陰肝経病証,3,
東洋医学概論,25,脈診で左手関上「浮」に配当される臓腑の募穴はどれか。,石門,章門,日月,関元,3,
東洋医学概論,25,"次の文で示す患者の病証でみられる舌象はどれか。
「43歳の男性。主訴は頭痛。めまい、目赤、胸脇苦満を伴う。最近、仕事上のストレスを抱えている。」",淡白舌,青舌,紫舌,紅舌,4,
東洋医学概論,25,難経六十九難により腎虚の補法を行う選穴部位はどれか。,太渓の上方2寸で、アキレス腱と長指屈筋との間,足内側、舟状骨粗面の下方、赤白肉際,手関節前面横紋上で、橈骨動脈拍動部,上腕二頭筋腱外方の陥凹部、肘窩横紋上,1,
東洋医学概論,25,"｢31歳の女性。主訴は頭痛と肩こり。月経は不定期で月経時に頭痛が憎悪し、下腹部痛も出現する。月経血にに血塊がみられ、舌下静脈の怒張もみられる。」
本患者の痛みの特徴はどれか。",だるい感じの痛みが現れる。,冷やすと疼痛が軽減する。,痛む部位が移動する。,夜間に痛みが増悪する。,4,
東洋医学概論,25,"｢31歳の女性。主訴は頭痛と肩こり。月経は不定期で月経時に頭痛が憎悪し、下腹部痛も出現する。月経血にに血塊がみられ、舌下静脈の怒張もみられる。」
本患者の病証でみられる脈状はどれか。",ざらざらとして渋滞したような脈,弾力に富み、琴の弦を按じるような脈,絹糸のように細くて力があり、按じて左右に移る脈,浮いていて細軟の脈,1,
東洋医学概論,26,五行色体で相生関係にある組合せはどれか。 ,鈎――毛 ,蔵――生 ,志――神 ,語――呑,2,
東洋医学概論,26,「胸中の灼熱様の痛み、激しい口渇、空腹だが飲食ができない、四肢厥冷、嘔吐、下痢｡」 ,陽明病 ,太陽病 ,少陰病 ,厥陰病 ,4,
東洋医学概論,26,"次の文で示す経脈病証はどれか。
「心煩、心下痛、舌の強ばり、舌痛、鼠径部や膝の腫痛や冷え｡」 ",手の少陰経 ,足の太陰経 ,手の陽明経 ,足の太陽経 ,2,
東洋医学概論,26,下肢と体幹の両側の陰陽を調節し、下肢の陰経と陽経の協調に関与するのはどれか。,陽蹻脈 ,陽維脈 ,帯脈 ,督脈,1,
東洋医学概論,26,すべての絡脈に瘀血があるときに用いるのはどれか。 ,鳩尾 ,長強 ,大包 ,蠡溝,3,
東洋医学概論,26,体重節痛を起こした場合、治療部位として適切なのはどれか。 ,前脛骨筋腱内側の陥凹部､内果尖の前方 ,第4 ・第5中足骨間､第4中足指節関節近位の陥凹部 ,足内側、舟状骨粗面の下方、赤白肉際 ,第5中足指節関節の近位陥凹部､赤白肉際,4,
東洋医学概論,26,"次の文で示す患者の症状を引き起こす六淫で最も適切なのはどれか。
「40歳の女性。昨日、外出 後、頭痛、鼻づまり、咽喉部の痒み、眼瞼およ顔面の浮腫が発生した。顔面麻痺様の症状もある｡」 ",寒邪 ,風邪 ,湿邪 ,暑邪 ,2,
東洋医学概論,26,"次の文で示す患者の病証はどれか。
「最近、息切れと無力感があり動くと汗が出る。顔色は蒼白く、 不眠、舌質は淡嫩。脈は細弱｡」 ",気虚血瘀 ,気血両虚 ,気滞血瘀 ,気不摂血 ,2,
東洋医学概論,26,病証と病因の組合せで正しいのはどれか。 ,肝胆湿熱―――――肝血虚が胆火に波及したもの ,心火亢盛―――――心陰が亢進したもの ,脾胃湿熱―――――湿が脾胃に長く影響し化熱したもの ,腎陰虚――――――腎気虚が進行し気の温煦作用が低下したもの,3,
東洋医学概論,26,足の太陽膀胱経の病証はどれか。 ,前胸部･腹部･鼠径部の痛み､顔面の麻痺 ,前頭部･後頭部･脊柱の痛み､精神異常 ,側頭部･体幹外側･下肢外側の痛み､顔色のくすみ ,腰部･大腿･下腿内側の痛み、顔色の黒ずみ,2,
東洋医学概論,26,"次の文で示す患者の病証でみられる脈診所見はどれか。
｢52歳の男性｡主訴は腰痛｡不眠や手足のほ てりを伴う｡仕事の疲れがたまると眩暈や盗汗が起こる｡」 ",滑脈 ,弦脈 ,細脈 ,緊脈,3,
東洋医学概論,26,六部定位に配当される脈診部位と絡穴部位の組合せで正しいのはどれか。 ,右寸口―――――尺側手根屈筋腱の撓側縁、手関節掌側横紋の上方1寸 ,左関上―――――長母指外転筋腱と短母指伸筋腱の間、手関節掌側横紋の上方1寸5分 ,右関上―――――前脛骨筋の外縁、外果尖の上方8寸 ,左尺中―――――長掌筋腱と橈側手根屈筋腱の間、手関節掌側横紋の上方2寸,3,
東洋医学概論,26,肘関節に向けて刺入すると補法になる経穴の部位はどれか。 ,尺骨内縁と尺側手根屈筋の間､手関節背側横紋の上方5寸 ,長掌筋腱と撓側手根屈筋腱の間、手関節掌側横紋の上方5寸 ,肘頭と肩峰角を結ぶ線上、肘頭の上方2寸 ,肘後外側、上腕骨外側上顆の上縁、外側顆上稜の前縁,1,
東洋医学概論,27,気について正しいのはどれか。,宗気は臍下丹田に集まる。,原気は津液を血に変化させる。,衛気は臓腑を温める。,営気は呼吸を推動する。,3,
東洋医学概論,27,五行色体で相剋関係にある組合せはどれか。,酸  　　　　 鹹,面　色　―――　毛,汗　―――　涎,久　坐　―――　久　臥,2,
東洋医学概論,27,「関節がだるく痛み、頭が重くなる。」の症状を引き起こす病邪の特徴はどれか。,粘滞性,昇散性,開泄性,収引性,1,
東洋医学概論,27,臓腑と生理作用の組合せで正しいのはどれか。,小　腸 　　　 受　納,胃　―――　降　濁,大　腸　―――　化　物,胆　―――　腐　熟,2,
東洋医学概論,27,胆経の病でみられるのはどれか。,嘆　息,喘　息,噴　嚔,吃　逆,1,
東洋医学概論,27,気血を化生する臓はどれか。,肝,心,脾,腎,3,
東洋医学概論,27,"次の文で示す患者の病証で最もみられる脈状はどれか。
「45 歳の女性。主訴は膝痛。10 日前に転倒して膝を打撲した。現在も膝内側が腫れて痛み、夜間も痛む。」",滑　脈,洪　脈,濡　脈,濇　脈,4,
東洋医学概論,27,経脈病証で「顔がすすけて黒く、腰が痛く、陰囊が腫れて痛み、小便が出ない。」のはどれか。,足の厥陰経脈病証,足の少陰経脈病証,足の少陽経脈病証,足の太陽経脈病証,1,
東洋医学概論,27,舌診で気陰両虚の所見はどれか。,舌体が腫れて大きい。,舌苔が剥落している。,舌の色が青紫色である。,舌下静脈の怒張がある。,2,
東洋医学概論,27,六部定位脈診で左手尺中の沈の部が虚している場合、難経六十九難に基づく治療穴の部位はどれか。,足の第 1 指、末節骨外側、爪甲角の近位外方 1 分,足内側、第 1 中足指節関節内側の近位陥凹部、赤白肉際,膝後内側、半腱様筋腱の外縁、膝窩横紋上,下腿後内側、アキレス腱の前縁、内果尖の上方 2 寸,4,
東洋医学概論,27,大腸の病変に用いる下合穴はどれか。,陽陵泉,足三里,上巨虚,委　陽,3,
東洋医学概論,27,心火亢盛証でみられないのはどれか。,口　渇,不　眠,舌尖紅,結　脈,4,
東洋医学概論,27,"次の文で示す患者の治療方針で最も適切なのはどれか。
「27 歳の女性。月経過多に悩む。食欲不振で大便溏薄、臍部に力がなく、四肢が冷える。面色萎黄。」",胃熱を除く。,腎精を補う。,痰湿を除く。,脾気を補う。,4,
東洋医学概論,28,"次の文で示す患者の病因で最も適切なのはどれか。
「34歳の男性。1週間前に上司から販売業績が悪い事を責められた。それ以来、やる気がでない。声に力がなく、食欲もない。」",食欲不節,労　倦,湿　邪,怒,2,
東洋医学概論,28,五行色体における五脈と五病の組合せで正しいのはどれか。,弦　---　呑,代　---　咳,毛　---　語,石　---　欠,4,
東洋医学概論,28,脈中を行き、血をめぐらすのはどれか。,原　気,宗　気,営　気,衛　気,3,
東洋医学概論,28,六腑に属する奇恒の腑が、剋する腑の生理作用はどれか。,貯尿を主る。,受納を主る。,決断を主る。,昇清を主る。,2,
東洋医学概論,28,五臓と生理作用の組合せで正しいのはどれか。,肝　---　封　蔵,心　---　蔵　血,腎　---　治　節,脾　---　昇　清,4,
東洋医学概論,28,急にめまい、けいれんを起こすのはどれか。,内　風,内　寒,内　湿,内　燥,1,
東洋医学概論,28,五労で正しいのはどれか。,久しく視ると血を傷る。,久しく歩くと肉を傷る。,久しく座ると気を傷る。,久しく立つと筋を傷る。,1,
東洋医学概論,28,"次の文で示す患者の病証で最もみられる汗の状態はどれか。
「36歳の男性。主訴は咳嗽。水様の鼻汁を伴い、息切れ、倦怠感も訴える。脈は弱。」",自　汗,盗　汗,大　汗,絶　汗,1,
東洋医学概論,28,経脈病証で「顔がくすみ、皮膚がかさかさして艶がない。口が苦く、よくため息をつく。痛みで寝返りが打てない。」のはどれか。,手の太陰経病証,手の太陽経病証,足の少陽経病証,足の厥陰経病証,3,
東洋医学概論,28,虚証で最もみられるのはどれか。,脱　肛,拒　按,滑　脈,口　苦,1,
東洋医学概論,28,"次の文で示す患者の病証で最もみられる舌所見はどれか。
「54歳の女性。主訴は肩こり。2週間前に感冒にかかり咳が強く出た。現在も透明な鼻汁がでて痰が多い。」",膩　苔,燥　苔,黄　苔,剥落苔,1,
東洋医学概論,28,難経六十九難の治療法則で原穴を選穴するのはどれか。,肝虚証,脾虚証,肺虚証,腎虚証,3,
東洋医学概論,28,痹証と十二刺の組合せで正しいのはどれか。,筋　痹　---　恢　刺,心　痹　---　陰　刺,寒　痹　---　輸　刺,骨　痹　---　直鍼刺,1,
東洋医学概論,29,陰陽の属性が同じ組合せはどれか。,温　---　西,遅　 ---　凸,魄　---　腹,左　---　偶　数　,3,
東洋医学概論,29,陽中の陰の臓が剋する臓の作用はどれか。,疏泄を主る。,血を主る。,運化を主る。,水を主る。,1,
東洋医学概論,29,陰虚にみられる舌苔はどれか。,厚　苔,潤　苔,膩　苔,少　苔,4,
東洋医学概論,29,胸中に集まる気について正しいのはどれか。,発育を促す。,発声に関わる。,発汗を調整する。,栄養分をもつ。,2,
東洋医学概論,29,津液の停滞による症状はどれか。,盗　汗,口　渇,しびれ,下　痢,4,
東洋医学概論,29,決断を主る臓腑と表裏関係にある臓腑の生理作用はどれか。,気を主る。,血液量を調節する。,全身の陽気を主る。,水分代謝を調節する。,2,
東洋医学概論,29,五臓とそれが蔵するものの組み合わせで正しいのはどれか。,肝　--- 精,心　---　血,脾　---　営,腎　---　魂,3,
東洋医学概論,29,三陰三陽病と症状の組合せで正しいのはどれか。,少陰病　---　臥床を好む,太陰病　---　便　秘,少陽病　---　項のこわばり,陽明病　---　めまい,1,
東洋医学概論,29,"次の文で示す症状を引き起こす六淫の性質に含まれるのはどれか。
「梅雨の時期から体が重く下肢がむくみ、下痢をするようになった。」",遊走性,昇散性,粘滞性,収引性,3,
東洋医学概論,29,五労で正しいのはどれか。,久して臥するは脾を傷る。,久して視るは心を傷る。,久して行くは腎を傷る。,久して坐すは肺を傷る。,2,
東洋医学概論,29,病証において虚実狭雑証でないのはどれか。,風熱犯肺,心腎不交,脾虚湿性,肝陽上亢,1,
東洋医学概論,29,"次の文で示す経脈の病証はどれか。
「48歳の女性。発汗、目尻から頬の痛みがあり、耳鳴りが続き耳が聞こえにくい。」",足の陽明経,手の太陽経病証,足の少陰経,手の少陽経,4,
東洋医学概論,29,"次の文で示す患者の病証で最もみられる症状はどれか。
「42歳の女性。主訴は月経周期の乱れ。子どもの面倒をみながら在宅勤務でイライラすることが多い。」",太　息,呵　欠,短　気,噴　嚏,1,
東洋医学概論,29,経絡病証で咽喉の症状がみられないのはどれか。,手の陽明経脈,手の太陽経脈,足の陽明経,足の太陽経脈,4,
東洋医学概論,29,六部定位脈診で右手関上の沈の部が虚している場合、難経六十九難に基づく治療穴はどれか。,中　渚,商　丘,労　宮,曲　泉,3,
東洋医学概論,29,腰殿部外側と大腿外側の脹痛に対して、侠渓を取穴した治療の法則はどれか。,局所取穴,循経取穴,分刺による取穴,難経六十九難の取穴,2,
東洋医学概論,30,陰陽の関係で「寒い日に活動して冷えすぎないようにする」のはどれか。,陰陽互根,陰陽消長,陰陽制約,陰陽転化,3,
東洋医学概論,30,血瘀の症状はどれか。,筋けいれん,顔面蒼白,視力減退,色素沈着,4,
東洋医学概論,30,気血を化生する臓はどれか。を化生する臓が剋する臓について正しいのはどれか。,血を主る。,魂を蔵する。,発汗を調節する。,耳に開竅する。,4,
東洋医学概論,30,全身の陽気を主る臓腑と表裏関係にある臓腑の生理作用はどれか。,受　盛,治　節,降　濁,納　気,1,
東洋医学概論,30,外邪とその特徴の組合せで正しいのはどれか。,風　邪　-----　動　血,暑　邪　-----　昇　散,湿　邪　-----　凝　滞,寒　邪　-----　重　濁,2,
東洋医学概論,30,気機を上昇させる特性を持つ五志に損傷されやすい臓の症状はどれか。,目のかすみ,不整脈,皮膚の乾燥,歯のぐらつき,1,
東洋医学概論,30,陽経の気血を調節するのはどれか。,督　脈,任　脈,衝　脈,帯　脈,1,
東洋医学概論,30,"次の文で示す患者の病院で最も適切なのはどれか。
「28歳の女性。年末年始に接客が多忙だった。その後、徐々に気力がなくなり、疲れやすく接客がつらい。」",思,寒　邪,労　倦,飲食不節,3,
東洋医学概論,30,"次の文で示す患者の病証で正しいのはどれか。
「82歳の男性。半年前に誤嚥性肺炎1カ月入院した。退院後から腰の痛み、耳鳴り、手足のほてりが出現し寝汗をかくようになった。",疏泄の失調,運化の失調,肝火の上炎,腎陰の不足,4,
東洋医学概論,30,経脈病証で「前頸部が腫れ、口がゆがみ口すぼめができず、うつ傾向にある」のはどれか。,手の太陰経病証,手の少陰経病証,足の陽明経病証,足の少陽経病証,3,
東洋医学概論,30,経脈病証で難聴がおこるのはどれか。,足の少陰経,手の太陽経,足の厥陰経,手の陽明経,2,
東洋医学概論,30,"次の文で示す患者の病証で最もみられる脈状はどれか。
「43歳の男性。主訴は便秘、1週間前に風邪を引き、その後、口渇が強くなり発汗も多くなった午後3時から5時くらいで体温が高くなる。」",濡　脈,弦　脈,洪　脈,緩　脈,3,
東洋医学概論,30,"次の文で示す病証の治療原則で最も適切なのはどれか。
「慢性の眩暈と頭痛、目の充血、のぼせ、腰がだるく力が入らない。脈は原細数を認める。」",瀉　実,急則治標,補虚瀉実,因地制宜,3,
東洋医学概論,30,"次の文で示す患者の病証で最も適切なのはどれか。
「46歳の男性。主訴は肩こり。1年以上テレワークで外出機会が減少し、ストレスを感じている。胸肋部痛と喉のつかえ感を伴う。」",陰　虚,気　滞,湿　熱,血　虚,2,
東洋医学概論,30,奇経八脈で血海と呼ばれるのはどれか。,任　脈,衝　脈,陰維脈,陰鐈脈,2,
東洋医学概論,30,十二刺の偶刺に基づいた治療穴の組合せで正しいのはどれか。,太　淵　-----　列　欠,太　淵　-----　肺　兪,中　府　-----　列　欠,中　府　-----　肺　兪,4,
東洋医学概論,31,五行色体表における五臓と五労の組合せで誤っているのはどれか。,肝　---　久　視,脾　---　久　坐,肺　---　久　臥,腎　---　久　立,1,
東洋医学概論,31,成長や生殖活動を行うもととなる基本的な物質の生理作用で最も適切なのはどれか。,神を維持する。,血脈を満たす。,呼吸を推動する。,体温を一定に保つ。,1,
東洋医学概論,31,三焦を通って臓腑の気になるのはどれか。,宗　気,衛　気,営　気,原　気,4,
東洋医学概論,31,条達作用をもつ臓腑と相生関係にある臓腑の作用はどれか。,気血の源,水穀の海,水の上源,陰陽の根本,4,
東洋医学概論,31,肺が外邪の侵襲を防ぎ、臓腑を保護することを示すのはどれか。,嬌　臓,華　蓋,粛　降,宣　発,2,
東洋医学概論,31,降濁作用の補助を受けている作用はどれか。,伝　化,疏　泄,粛　降,化　物,1,
東洋医学概論,31,経脈病証で、喉に症状があり、外側前腕皮神経の支配領域に痛みがあるのはどれか。,手の少陰経 ,手の少陽経,手の陽明経 ,手の太陽経,3,
東洋医学概論,31,六淫で生風を特徴とするのはどれか。,風　邪,暑　邪,燥　邪,火　邪,4,
東洋医学概論,31,内因において、気を緩ませる感情が過度に生じるとみられる症状はどれか。,失　禁,動　悸,食欲不振,声のかすれ,2,
東洋医学概論,31,湯液療法（和漢薬）について正しいのはどれか。,鉱物を用いる。,副作用がない。,証をたてる必要はない。,多くは単味で用いる。,1,
東洋医学概論,31,五心煩熱や盗汗がみられるのはどれか。,肝脾不和,心肝火旺,心脾両虚,心腎不交,4,
東洋医学概論,31,"次の文で示す症例の経脈病証はどれか。
「65歳の男性。2週間前から腰痛で、前かがみや仰向けができない。最近は下腹部が痛み、季肋部が腫れ、喉が渇き、下痢をする。」",足の太陰経,足の厥陰経,足の陽明経,足の少陽経,2,
東洋医学概論,31,汗と脈状の組合せで正しいのはどれか。,無　汗　---　濇　脈,戦　汗　---　結　脈,大　汗　---　滑　脈,手足心汗　---　細　脈,4,
東洋医学概論,31,"次の文で示す症例の腹診所見はどれか。
「44歳の女性。主訴は頭痛。半年前に転職し、上司との人間関係がうまくいかず気が滅入る。頭部に刺すような痛みがあり、顔のシミが目立つようになってきた。」",腹裏拘急,心下痞鞕,小腹不仁,小腹急結,4,
東洋医学概論,31,六部定位脈診で左手関上の沈の部が実している場合、難経六十九難に基づく治療穴はどれか。,少　府,経　渠,陰　谷,陽　輔,1,
東洋医学概論,31,"次の文で示す病証の病理で正しいのはどれか。
「48歳の男性。3カ月前に新型コロナウイルス感染症で30日間入院した。退院後も乾いた咳嗽が続き、粘稠性黄色の痰が少量出る。また手足がほてり、頬が紅い。」",肺気の不足,風寒の侵襲,陰液の損傷,痰湿の停滞,3,
東洋医学概論,32,未病の概念について適切なのはどれか。,人体と自然は相応している。,心と体は一体である。,人体は有機体として機能する。,健康と疾病は連続している。,4,
東洋医学概論,32,狭義の神の働きでないのはどれか。,思惟活動の維持,精神活動の制御,生命活動の維持,外界刺激に対する情動反応,3,
東洋医学概論,32,本虚標実証に含まれるのはどれか。,肝鬱気滞,肝陽上亢,肝火犯肺,心肝火旺,2,
東洋医学概論,32,衝脈・任脈・督脈のすべてと密接な関係にある奇恒の腑の機能はどれか。,月経を主る。,肢体を支える。,情報を伝達する。,生命活動を主宰する。,1,
東洋医学概論,32,経絡の概要について正しいのはどれか。,経脈の循行は上焦から起こる。,経別は別行する正経である。,奇経は表裏関係をもつ。,絡脈が集まったものを浮絡という。,2,
東洋医学概論,32,顔の望診で色を判断できない場合に用いる皮膚の部位はどれか。,腹　部,前腕前面部,背　部,下腿後面部,2,
東洋医学概論,32,陰器（生殖器）に集まる経筋はどれか。,手の三陰経筋,手の三陽経筋,足の三陰経筋,足の三陽経筋,3,
東洋医学概論,32,長夏の病邪で生じやすい症状はどれか。,けいれん,大量の汗,激しい口渇,下肢の浮腫,4,
東洋医学概論,32,三毒説と関係するのはどれか。,疫　癘,心　労,打　撲,運動不足,3,
東洋医学概論,32,五行色体で相剋関係にある組合せはどれか。,噫　-----　羽,収　-----　肌　肉,麦　-----　羊,石　-----　色,1,
東洋医学概論,32,"次の文で示す経脈病証はどれか。
「55 歳の女性。 3 週間前に肩の上部から上肢後面が痛み始めた。 1 週間前から耳の後ろと目尻が痛む。汗をかきやすい。」",手の太陰経,手の少陰経,手の太陽経,手の少陽経,4,
東洋医学概論,32,"次の文で示す三陰三陽病証はどれか。
「全身の冷え、悪寒、下痢、嗜眠を呈し、抵抗力が弱く、身体が衰弱している状態。」",少陽病,太陰病,少陰病,厥陰病,3,
東洋医学概論,32,"次の文で示す病証でみられる便秘はどれか。
「34 歳の女性。半年前に仕事を辞め、新しい仕事を探しつつ、夜中はテレビゲームで遊んでいることが多い。噯気が頻繁に起こり、腹部の膨満感を伴う。」",熱　秘,気　秘,虚　秘,冷　秘,2,
東洋医学概論,32,"次の文で示す病証で最も適切なのはどれか。
「32 歳の男性。 5 日前に雨天の中、長時間の歩行をした。その翌日に微熱と発汗がみられた。現在は、倦怠感と食欲不振、水様便がみられる。」",表虚証,裏虚証,表実証,裏実証,2,
